News Number;Title;Link;Date
1;In NFT Sales, Bitcoin Jumps to No. 2 Spot in a Matter of Months;https://www.coindesk.com/web3/2023/05/22/in-nft-sales-bitcoin-jumps-to-no-2-spot-in-a-matter-of-months/;May 22, 2023
2;Celebrating Bitcoin Pizza Day: the Time a Bitcoin User Bought 2 Pizzas for 10,000 BTC;https://www.coindesk.com/consensus-magazine/2023/05/22/celebrating-bitcoin-pizza-day-the-time-a-bitcoin-user-bought-2-pizzas-for-10000-btc/;May 22, 2023
3;U.S. Debt Deal Could Weigh On Bitcoin Price, Some Say;https://www.coindesk.com/markets/2023/05/22/us-debt-deal-may-weigh-over-bitcoin-observers/;May 22, 2023
4;First Mover Asia: Bitcoin Holds Steady Near $27K as Investors Weigh Debt Ceiling Developments;https://www.coindesk.com/markets/2023/05/23/first-mover-asia-bitcoin-holds-steady-near-27k-as-investors-weigh-debt-ceiling-developments/;May 23, 2023
5;Crypto Miner Marathon Pledges $500K in Matching Funds to Brink for Bitcoin Development;https://www.coindesk.com/tech/2023/05/21/crypto-miner-marathon-pledges-500k-in-matching-funds-to-brink-for-bitcoin-development/;May 21, 2023
6;El rango de trading de bitcoin se reduce a su nivel más bajo en meses;https://www.coindesk.com/es/markets/2023/05/22/el-rango-de-trading-de-bitcoin-se-reduce-a-su-nivel-mas-bajo-en-meses/;May 22, 2023
7;Bitcoin Pizza Day Turns Sour as Meme Coin Shysters Profit Over $200K in Rug Pulls;https://www.coindesk.com/business/2023/05/22/bitcoin-pizza-day-turns-sour-as-meme-coin-shysters-profit-over-200k-in-rug-pulls/;May 22, 2023
8;First Mover Asia: Will Bitcoin Soon Begin a Retest of 30K?;https://www.coindesk.com/markets/2023/05/22/first-mover-asia-coming-soon-a-retest-of-bitcoin-at-30k/;May 22, 2023
9;Bitcoin Spurs 5th Consecutive Week of Outflows at Crypto Investment Funds: CoinShares;https://www.coindesk.com/markets/2023/05/22/bitcoin-spurs-5th-consecutive-week-of-outflows-at-crypto-investment-funds/;May 22, 2023
10;Bitcoin's Trading Range Narrows to Tightest in Months;https://www.coindesk.com/markets/2023/05/22/bitcoins-trading-range-narrows-to-tightest-in-months/;May 22, 2023
11;"Tornado Cash Attacker Submits Proposal to Undo Attack; Bitcoin Pizza Day Turns Sour";https://www.coindesk.com/podcasts/coindesk-podcast-network/tornado-cash-attacker-submits-proposal-to-undo-attack-bitcoin-pizza-day-turns-sour/;May 22, 2023
12;Crypto Update | Bitcoin and Larger Crypto Assets In the Red While Debt Ceiling Talks Continue;https://www.coindesk.com/podcasts/markets-daily/crypto-update-bitcoin-and-larger-crypto-assets-in-the-red-while-debt-ceiling-talks-continue/;May 22, 2023
13;"FTX CEO's Legal Billings Hint at Comeback for Crypto Exchange;   Bitcoin's Reaction to Debt Ceiling Stalemate";https://www.coindesk.com/tv/first-mover/ftx-ceos-legal-billings-hint-at-comeback-for-crypto-exchange-bitcoins-reaction-to-debt-ceiling-stalemate/;May 23, 2023
14;First Mover Americas: Bitcoin Price Edges Lower, Tron Rallies;https://www.coindesk.com/markets/2023/05/22/first-mover-americas-bitcoin-price-edges-lower-tron-rallies/;May 22, 2023
15;NFT Marketplace DIBA Goes Live on ‘Really Good for Bitcoin’ Smart Contracts;https://www.coindesk.com/tech/2023/05/19/nft-marketplace-diba-goes-live-on-really-good-for-bitcoin-smart-contracts/;May 19, 2023
16;Should We Worry About Tether’s Bitcoin-Buying Plan?;https://www.coindesk.com/consensus-magazine/2023/05/18/should-we-worry-about-tethers-bitcoin-buying-plan/;May 18, 2023
17;Bitcoin Pizza Day Turns Sour as Meme Coin Issuers Profit Over $200K in Rug Pulls;https://www.coindesk.com/video/bitcoin-pizza-day-turns-sour-as-meme-coin-issuers-profit-over-dollar200k-in-rug-pulls/;May 22, 2023
18;"Tornado Cash Attacker Submits Proposal to Undo Attack; Bitcoin Pizza Day Turns Sour";https://www.coindesk.com/tv/the-hash/tornado-cash-attacker-submits-proposal-to-undo-attack-bitcoin-pizza-day-turns-sour/;May 22, 2023
19;Bitcoin Outlook as Trading Range Narrows to Tightest in Months;https://www.coindesk.com/video/bitcoin-outlook-as-trading-range-narrows-to-tightest-in-months/;May 22, 2023
20;"Bitcoin Sees Tightest Price Range in Months; Polygon Co-Founder on Web3 Outlook";https://www.coindesk.com/tv/first-mover/bitcoin-sees-tightest-price-range-in-months-polygon-co-founder-on-web3-outlook/;May 22, 2023
21;The Blocksize Wars Revisited: How Bitcoin’s Civil War Still Resonates Today;https://www.coindesk.com/consensus-magazine/2023/05/17/the-blocksize-wars-revisited-how-bitcoins-civil-war-still-resonates-today/;May 17, 2023
22;Litecoin dejó atrás a bitcoin y ether con un repunte que registró máximos de un mes;https://www.coindesk.com/es/markets/2023/05/18/litecoin-dejo-atras-a-bitcoin-y-ether-con-un-repunte-que-registro-maximos-de-un-mes/;May 18, 2023
23;Bitcoin Payments App Strike Expands to More Than 65 Countries From Three;https://www.coindesk.com/tech/2023/05/19/bitcoin-payments-app-strike-expands-to-65-countries-from-three/;May 19, 2023
24;“Bitcoin Frogs” se convirtió en el NFT más comercializado en medio del auge de Bitcoin Ordinals;https://www.coindesk.com/es/markets/2023/05/18/bitcoin-frogs-se-convirtio-en-el-nft-mas-comercializado-en-medio-del-auge-de-bitcoin-ordinals/;May 18, 2023
25;Litecoin Leaves Bitcoin and Ether Behind With Rally to One-Month High;https://www.coindesk.com/markets/2023/05/18/litecoin-leaves-bitcoin-and-ether-behind-with-a-rally-to-one-month-high/;May 18, 2023
26;Bitcoin Drops Below $27K as Investors Continue to Weigh Debt Ceiling Talks, Regulatory Actions;https://www.coindesk.com/markets/2023/05/18/bitcoin-drops-below-27k-as-investors-continue-to-weigh-debt-ceiling-talks-regulatory-actions/;May 18, 2023
27;Attendance at World's Largest Bitcoin Conference Down by Half as 'Crypto Winter' Drags On;https://www.coindesk.com/tech/2023/05/18/miami-bitcoin-conference-flags-attendance-down-by-half-as-crypto-winter-drags-on/;May 18, 2023
28;First Mover Asia: Traders Long on Bitcoin Despite Debt Ceiling Challenges, Dark U.S. Regulatory Clouds;https://www.coindesk.com/markets/2023/05/19/first-mover-asia-traders-long-on-bitcoin-despite-debt-ceiling-challenges-dark-us-regulatory-clouds/;May 19, 2023
29;Pepe-Themed ‘Bitcoin Frogs’ Becomes Most Traded NFT Amid Bitcoin Ordinals Hype;https://www.coindesk.com/markets/2023/05/18/pepe-themed-bitcoin-frogs-becomes-most-traded-nft-amid-bitcoin-ordinals-hype/;May 18, 2023
30;Bitcoin and Broader Crypto Prices Little-Changed in Eventful News Week;https://www.coindesk.com/markets/2023/05/19/bitcoin-and-broader-crypto-prices-little-changed-in-eventful-news-week/;May 19, 2023
